Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-26T00:22:39.346Z","Included","auto","No","188","39956","51429","95","91668","0.06"
"2025-09-26T00:22:13.924Z","Errored, Not Charged","auto","No","742","39399","101658","213","142012","0.08"
"2025-09-26T00:17:37.937Z","Included","auto","No","360","38876","50233","263","89732","0.06"
"2025-09-26T00:16:29.656Z","Included","auto","No","4480","37778","194722","608","237588","0.11"
"2025-09-26T00:16:00.117Z","Included","auto","No","42057","36375","151907","596","230935","0.14"
"2025-09-26T00:15:21.074Z","Included","auto","No","4428","32810","456528","1740","495506","0.17"
"2025-09-26T00:13:35.373Z","Included","auto","No","33769","0","649848","4922","688539","0.23"
"2025-09-26T00:13:02.482Z","Included","auto","No","0","75720","0","7","75727","0.09"
"2025-09-26T00:12:51.588Z","Included","auto","No","184","75500","78241","98","154023","0.11"
"2025-09-26T00:12:42.355Z","Included","auto","No","179","75275","78063","98","153615","0.11"
"2025-09-26T00:12:27.337Z","Included","auto","No","187","75056","77877","98","153218","0.11"
"2025-09-26T00:12:15.369Z","Included","auto","No","204","74829","77674","103","152810","0.11"
"2025-09-26T00:11:54.431Z","Included","auto","No","261","74584","77414","103","152362","0.11"
"2025-09-26T00:11:31.666Z","Included","auto","No","235","74287","77180","169","151871","0.11"
"2025-09-26T00:10:56.086Z","Included","auto","No","250","74014","76931","133","151328","0.11"
"2025-09-26T00:09:52.344Z","Included","auto","No","103","73722","76829","168","150822","0.11"
"2025-09-26T00:09:02.045Z","Errored, Not Charged","auto","No","1369","109260","75281","1355","187265","0.17"
"2025-09-26T00:04:56.318Z","Included","auto","No","1105","71245","373155","488","445993","0.19"
"2025-09-26T00:04:17.205Z","Included","auto","No","262","70873","73920","250","145305","0.11"
"2025-09-26T00:03:35.354Z","Included","auto","No","1670","70327","219676","251","291924","0.15"
"2025-09-26T00:02:43.295Z","Included","auto","No","1487","68950","435756","551","506744","0.20"
"2025-09-26T00:00:51.415Z","Included","auto","No","5577","63436","403667","506","473186","0.19"
"2025-09-25T23:58:58.121Z","Included","auto","No","4689","90058","1031939","1835","1128521","0.39"
"2025-09-25T23:55:15.344Z","Errored, Not Charged","auto","No","57634","105932","1202090","1089","1366745","0.51"
"2025-09-25T23:53:29.047Z","Included","auto","No","17860","84555","1981520","1593","2085528","0.63"
"2025-09-25T23:51:39.258Z","Included","auto","No","84449","81968","906334","652","1073403","0.44"
"2025-09-25T23:51:10.784Z","Included","auto","No","30854","81655","57758","196","170463","0.16"
"2025-09-25T23:45:20.206Z","Errored, Not Charged","auto","No","77269","121092","3435473","5170","3639004","1.14"
"2025-09-25T23:37:25.167Z","Included","auto","No","159772","98007","11050137","8528","11316444","3.14"
"2025-09-25T23:35:11.172Z","Included","auto","No","15105","89653","2601414","3184","2709356","0.80"
"2025-09-25T23:32:19.794Z","Included","auto","No","14627","76488","3390354","4024","3485493","0.99"
"2025-09-25T23:31:38.281Z","Included","auto","No","289","76236","80332","108","156965","0.12"
"2025-09-25T23:30:44.426Z","Included","auto","No","7977","72997","941627","1246","1023847","0.34"
"2025-09-25T23:25:03.950Z","Included","auto","No","143193","161727","732144","25633","1062697","0.72"
"2025-09-25T23:24:07.716Z","Included","auto","No","6076","77081","158646","399","242202","0.15"
"2025-09-25T23:21:52.498Z","Included","auto","No","6725","70252","1613571","1741","1692289","0.51"
"2025-09-25T23:21:31.738Z","Included","auto","No","938","69811","71418","301","142468","0.11"
"2025-09-25T23:16:19.389Z","Included","auto","No","25102","44370","4289102","4907","4363481","1.19"
"2025-09-25T23:16:09.380Z","Included","auto","No","17183","0","29205","291","46679","0.03"
"2025-09-25T23:07:49.121Z","Included","auto","No","196162","229541","2547340","65453","3038496","1.56"
"2025-09-25T23:03:27.486Z","Included","auto","No","36131","33133","2622212","4608","2696084","0.77"
"2025-09-25T22:49:18.495Z","Errored, Not Charged","auto","No","33854","103121","6725","269","143969","0.17"
"2025-09-25T22:48:41.822Z","Included","auto","No","3577","98001","112210","190","213978","0.16"
"2025-09-25T22:47:36.430Z","Included","auto","No","478","93763","111733","280","206254","0.15"
"2025-09-25T22:46:40.062Z","Included","auto","No","434","93238","111300","1177","206149","0.15"
"2025-09-25T22:46:03.585Z","Included","auto","No","5014","87837","431472","408","524731","0.23"
"2025-09-25T22:45:41.306Z","Included","auto","No","332","87512","105959","141","193944","0.14"
"2025-09-25T22:45:19.339Z","Included","auto","No","839","86856","210814","240","298749","0.16"
"2025-09-25T22:44:50.440Z","Included","auto","No","0","86195","0","7","86202","0.11"
"2025-09-25T22:44:33.010Z","Included","auto","No","201","85872","104635","165","190873","0.13"
"2025-09-25T22:44:12.990Z","Included","auto","No","346","85633","104290","67","190336","0.13"
"2025-09-25T22:43:48.184Z","Included","auto","No","14040","85249","90251","204","189744","0.15"
"2025-09-25T22:34:41.638Z","Errored, Not Charged","auto","No","93666","99426","99848","613","293553","0.27"
"2025-09-25T22:27:13.832Z","Included","auto","No","76620","55544","2622195","17180","2771539","0.92"
"2025-09-25T22:20:13.875Z","Errored, Not Charged","auto","No","53455","106402","2629675","2867","2792399","0.87"
"2025-09-25T22:19:45.308Z","Included","auto","No","233","106102","116769","121","223225","0.16"
"2025-09-25T22:19:05.526Z","Included","auto","No","2717","103241","690251","297","796506","0.31"
"2025-09-25T22:18:49.919Z","Included","auto","No","565","102972","113494","100","217131","0.16"
"2025-09-25T22:18:15.180Z","Included","auto","No","989","102196","225679","683","329547","0.19"
"2025-09-25T22:17:18.890Z","Included","auto","No","1831","101469","110677","504","214481","0.16"
"2025-09-25T22:13:41.079Z","Included","auto","No","18897","82119","473937","3081","578034","0.26"
"2025-09-25T22:09:23.511Z","Included","auto","No","28585","57316","2077364","7452","2170717","0.67"
"2025-09-25T22:04:02.365Z","Errored, Not Charged","auto","No","53741","106735","348041","512","509029","0.29"
"2025-09-25T22:02:07.073Z","Included","auto","No","15973","90282","586054","1413","693722","0.29"
"2025-09-25T21:58:06.527Z","Included","auto","No","17407","72075","892108","1597","983187","0.34"
"2025-09-25T21:50:54.859Z","Included","auto","No","494","71514","77973","378","150359","0.11"
"2025-09-25T21:48:59.381Z","Included","auto","No","71250","70378","84139","105","225872","0.20"
"2025-09-25T21:42:14.469Z","Included","auto","No","145","70191","77122","11","147469","0.11"
"2025-09-25T21:42:05.106Z","Included","auto","No","133","70006","76990","23","147152","0.11"
"2025-09-25T21:41:45.016Z","Errored, Not Charged","auto","No","70084","68633","82592","224","221533","0.20"
"2025-09-25T21:20:12.489Z","Included","auto","No","3465","67678","71540","413","143096","0.11"
"2025-09-25T21:09:09.343Z","Included","auto","No","34736","59264","587524","1188","682712","0.27"
"2025-09-25T20:54:50.033Z","Errored, Not Charged","auto","No","55278","110276","482504","1458","649516","0.34"
"2025-09-25T20:52:55.322Z","Included","auto","No","4323","107069","1169696","1557","1282645","0.44"
"2025-09-25T20:45:06.071Z","Included","auto","No","112408","89998","605629","1429","809464","0.41"
"2025-09-25T20:41:35.307Z","Included","auto","No","17058","72589","1435391","2831","1527869","0.49"
"2025-09-25T20:39:20.814Z","Included","auto","No","18570","55621","721798","4123","800112","0.30"
"2025-09-25T20:38:14.279Z","Included","auto","No","14695","42596","149849","1231","208371","0.12"
"2025-09-25T20:34:32.354Z","Errored, Not Charged","auto","No","39500","107195","806503","1447","954645","0.39"
"2025-09-25T20:31:14.449Z","Included","auto","No","4003","106476","108481","503","219463","0.17"
"2025-09-25T20:28:12.749Z","Included","auto","No","16496","119295","865721","3140","1004652","0.41"
"2025-09-25T20:25:38.083Z","Included","auto","No","33138","84289","332314","610","450351","0.23"
"2025-09-25T20:08:32.202Z","Included","auto","No","106110","162521","1473402","25039","1767072","0.85"
"2025-09-25T20:05:31.936Z","Included","auto","No","3233","79982","273399","1019","357633","0.18"
"2025-09-25T20:04:29.845Z","Included","auto","No","3139","77391","802859","1200","884589","0.31"
"2025-09-25T20:03:01.757Z","Included","auto","No","2589","75379","430166","1023","509157","0.21"
"2025-09-25T20:02:40.114Z","Included","auto","No","527","74839","84517","402","160285","0.12"
"2025-09-25T19:58:49.731Z","Included","auto","No","389","74263","84129","275","159056","0.12"
"2025-09-25T19:58:22.762Z","Included","auto","No","571","73833","83559","305","158268","0.12"
"2025-09-25T19:57:53.651Z","Included","auto","No","471","73199","83089","489","157248","0.12"
"2025-09-25T19:45:36.879Z","Included","auto","No","93211","70730","151884","2003","317828","0.25"
"2025-09-25T19:39:20.193Z","Included","auto","No","90185","177247","1721014","22495","2010941","0.90"
"2025-09-25T19:34:53.477Z","Included","auto","No","20975","76625","1508548","2056","1608204","0.51"
"2025-09-25T19:28:42.423Z","Included","auto","No","79235","61540","1213638","1716","1356129","0.49"
"2025-09-25T18:45:37.464Z","Included","auto","No","63678","146982","2366293","8828","2585781","0.91"
"2025-09-25T09:19:48.075Z","Included","auto","No","0","145842","790272","1405","937519","0.39"
"2025-09-25T09:17:28.242Z","Included","auto","No","0","144104","117248","427","261779","0.21"
"2025-09-25T09:11:38.013Z","Included","auto","No","0","223487","1215744","3590","1442821","0.60"
"2025-09-25T09:09:28.186Z","Included","auto","No","0","93820","173184","287","267291","0.16"
"2025-09-25T09:08:02.591Z","Errored, Not Charged","auto","No","0","9587","822656","2997","835240","0.24"
"2025-09-25T09:06:51.868Z","Included","auto","No","0","87882","65792","781","154455","0.13"
"2025-09-25T09:04:24.132Z","Included","auto","No","0","84310","44416","402","129128","0.12"
"2025-09-25T09:02:34.391Z","Included","auto","No","0","82248","649856","3207","735311","0.28"
"2025-09-25T08:58:33.351Z","Included","auto","No","0","33235","207104","2970","243309","0.11"
"2025-09-25T08:53:03.452Z","Included","auto","No","25930","81801","1498315","2614","1608660","0.52"
"2025-09-25T08:51:43.746Z","Included","auto","No","8727","79891","78207","604","167429","0.13"
"2025-09-25T08:45:06.834Z","Included","auto","No","18447","52382","1481458","2954","1555241","0.48"
"2025-09-25T08:39:06.300Z","Included","auto","No","21125","37345","291077","954","350501","0.15"
"2025-09-25T08:34:07.576Z","Included","auto","No","38631","215110","731594","24387","1009722","0.65"
"2025-09-25T08:24:30.466Z","Included","auto","No","6680","104007","1027669","1887","1140243","0.41"
"2025-09-25T08:22:15.755Z","Included","auto","No","5859","98293","1189128","886","1294166","0.43"
"2025-09-25T08:17:43.760Z","Included","auto","No","20205","78888","923555","2951","1025599","0.37"
"2025-09-25T08:12:58.070Z","Included","auto","No","23526","55093","1225736","3712","1308067","0.43"
"2025-09-25T08:07:52.386Z","Included","auto","No","77629","161327","793067","18923","1050946","0.61"
"2025-09-25T08:02:27.714Z","Included","auto","No","217624","125911","1275083","15283","1633901","0.84"
"2025-09-25T07:49:25.025Z","Included","auto","No","62306","34019","4969958","15085","5081368","1.45"
"2025-09-25T07:47:58.531Z","Included","auto","No","32263","174104","10141","11107","227615","0.33"
"2025-09-25T07:43:51.305Z","Included","auto","No","21336","78906","1361734","3292","1465268","0.49"
"2025-09-25T07:42:04.939Z","Included","auto","No","11441","63985","346500","889","422815","0.19"
"2025-09-25T07:37:20.902Z","Included","auto","No","44717","43749","2567858","7714","2664038","0.80"
"2025-09-25T07:31:02.864Z","Included","auto","No","164133","175148","1091986","13467","1444734","0.78"
"2025-09-25T07:03:27.873Z","Included","auto","No","104410","78665","1963938","6789","2153802","0.76"
"2025-09-25T06:17:54.827Z","Included","auto","No","30025","62093","1148165","3632","1243915","0.42"
"2025-09-25T06:15:05.803Z","Included","auto","No","34576","48796","536939","2543","622854","0.25"
"2025-09-25T06:08:36.903Z","Included","auto","No","49095","194427","1449570","30561","1723653","0.85"
"2025-09-25T06:08:12.406Z","Included","auto","No","578","96418","112226","462","209684","0.15"
"2025-09-25T06:07:19.516Z","Included","auto","No","5369","95816","106858","430","208473","0.16"
"2025-09-25T06:02:04.377Z","Included","auto","No","13678","77736","865345","2647","959406","0.35"
"2025-09-25T06:01:17.337Z","Included","auto","No","1019","77155","92171","400","170745","0.12"
"2025-09-25T05:57:30.101Z","Included","auto","No","15356","64389","575385","3649","658779","0.27"
"2025-09-25T05:54:31.591Z","Included","auto","No","28668","53379","953907","2993","1038947","0.36"
"2025-09-25T05:49:33.085Z","Included","auto","No","55287","189056","670117","26254","940714","0.63"
"2025-09-25T05:45:20.681Z","Included","auto","No","16340","88384","1094142","4122","1202988","0.43"
"2025-09-25T05:40:55.695Z","Included","auto","No","97629","74054","941538","4900","1118121","0.48"
"2025-09-25T05:24:38.987Z","Included","auto","No","29518","60901","603833","3123","697375","0.28"
"2025-09-25T05:18:57.847Z","Included","auto","No","67952","185892","1751140","24903","2029887","0.90"
"2025-09-25T05:12:23.533Z","Included","auto","No","23318","81226","2562132","5414","2672090","0.80"
"2025-09-25T05:09:16.443Z","Included","auto","No","16567","66444","1320424","4405","1407840","0.46"
"2025-09-25T05:08:34.294Z","Included","auto","No","2404","63726","287301","798","354229","0.16"
"2025-09-25T05:07:24.153Z","Included","auto","No","5632","58043","684183","746","748604","0.26"
"2025-09-25T05:06:36.718Z","Included","auto","No","677","57503","64477","330","122987","0.09"
"2025-09-25T05:04:46.948Z","Included","auto","No","11416","45394","722298","1361","780469","0.26"
"2025-09-25T05:04:37.824Z","Included","auto","No","687","44718","52388","428","98221","0.07"
"2025-09-25T05:03:15.197Z","Included","auto","No","8043","36326","89716","610","134695","0.08"
"2025-09-25T04:59:25.672Z","Included","auto","No","39304","201951","619503","17899","878657","0.56"
"2025-09-25T04:58:12.395Z","Included","auto","No","25504","103601","85729","782","215616","0.19"
"2025-09-25T04:52:54.456Z","Included","auto","No","20583","79631","1666514","4795","1771523","0.57"
"2025-09-25T04:50:13.706Z","Included","auto","No","27536","66151","579648","1187","674522","0.27"
"2025-09-25T04:45:11.888Z","Included","auto","No","57295","186908","1545175","14469","1803847","0.78"
"2025-09-25T04:38:52.590Z","Included","auto","No","192647","100718","2345987","14313","2653665","1.04"
"2025-09-25T04:25:54.603Z","Included","auto","No","156881","124878","2147719","22894","2452372","1.03"
"2025-09-25T04:24:01.919Z","Included","auto","No","15278","60370","974867","3703","1054218","0.36"
"2025-09-25T04:20:05.104Z","Included","auto","No","18484","51554","1139265","10691","1219994","0.44"
"2025-09-25T04:14:57.338Z","Included","auto","No","24915","39609","1641586","16732","1722842","0.59"
"2025-09-25T04:14:20.026Z","Included","auto","No","1126","38764","61869","627","102386","0.07"
"2025-09-25T04:11:47.911Z","Included","auto","No","17265","22675","1290164","4960","1335064","0.40"
"2025-09-25T04:10:27.072Z","Included","auto","No","1606","21535","43023","909","67073","0.05"
"2025-09-25T04:05:56.043Z","Included","auto","No","43878","118899","1004422","17880","1185079","0.56"
"2025-09-25T04:03:18.817Z","Included","auto","No","16999","56655","981334","8235","1063223","0.39"
"2025-09-25T03:58:10.120Z","Included","auto","No","13652","48956","1858788","18548","1939944","0.65"
"2025-09-25T03:56:34.155Z","Included","auto","No","8105","45982","449147","6203","509437","0.22"
"2025-09-25T03:55:11.411Z","Included","auto","No","25912","43606","181792","6824","258134","0.17"
"2025-09-25T03:49:26.453Z","Errored, Not Charged","auto","No","54372","78102","919345","14183","1066002","0.48"
"2025-09-25T03:47:17.285Z","Included","auto","No","9627","70870","1131513","4416","1216426","0.41"
"2025-09-25T03:45:11.531Z","Included","auto","No","9924","0","1031105","4552","1045581","0.30"
"2025-09-25T03:42:06.564Z","Included","auto","No","13114","56966","1417106","8799","1495985","0.49"
"2025-09-25T03:40:04.420Z","Included","auto","No","9288","52906","568846","7750","638790","0.27"
"2025-09-25T03:39:21.602Z","Included","auto","No","2304","51548","148003","2406","204261","0.12"
"2025-09-25T03:37:45.151Z","Errored, Not Charged","auto","No","5921","49426","350487","4390","410224","0.18"
"2025-09-25T03:35:23.924Z","Included","auto","No","12552","42379","1015479","7442","1077852","0.37"
"2025-09-25T03:35:07.650Z","Included","auto","No","47463","41551","6742","54","95810","0.11"
"2025-09-25T02:39:31.439Z","Errored, Not Charged","auto","No","48447","89558","1824750","5978","1968733","0.66"
"2025-09-25T02:37:26.400Z","Included","auto","No","105845","88857","6725","512","201939","0.25"
"2025-09-25T02:21:32.998Z","Included","auto","No","201210","81297","962513","3839","1248859","0.62"
"2025-09-25T02:06:28.238Z","Included","auto","No","1214","80604","100518","462","182798","0.13"
"2025-09-25T02:02:58.372Z","Included","auto","No","694","79316","99825","428","180263","0.13"
"2025-09-25T01:59:22.139Z","Included","auto","No","9686","71973","374335","3222","459216","0.21"
"2025-09-25T01:58:03.623Z","Included","auto","No","1390","71236","88754","550","161930","0.12"
"2025-09-25T01:51:02.512Z","Included","auto","No","82042","65403","1035066","1650","1184161","0.45"
"2025-09-25T01:32:03.883Z","Included","auto","No","12687","56182","1055741","4803","1129413","0.38"
"2025-09-25T01:25:55.312Z","Included","auto","No","683","55501","70079","504","126767","0.09"
"2025-09-25T01:22:06.868Z","Included","auto","No","63358","48502","202907","2707","317474","0.21"
"2025-09-25T00:57:20.167Z","Included","auto","No","553","47527","60517","783","109380","0.08"
"2025-09-25T00:54:37.035Z","Included","auto","No","53799","44344","357392","1248","456783","0.22"
"2025-09-25T00:25:02.708Z","Included","auto","No","207938","162464","2699177","24496","3094075","1.28"
"2025-09-25T00:13:22.965Z","Included","auto","No","101786","76707","920070","4459","1103022","0.48"
"2025-09-24T23:43:59.493Z","Included","auto","No","18897","62841","1514733","7840","1604311","0.53"
"2025-09-24T23:42:47.260Z","Included","auto","No","666","62254","75330","348","138598","0.10"
"2025-09-24T23:39:28.584Z","Included","auto","No","68609","56468","221468","2042","348587","0.22"
"2025-09-24T23:33:02.114Z","Included","auto","No","525","56160","68167","126","124978","0.09"
"2025-09-24T23:28:36.391Z","Included","auto","No","13057","42783","1399171","3165","1458176","0.44"
"2025-09-24T23:23:58.177Z","Included","auto","No","48140","0","603620","4383","656143","0.24"
"2025-09-24T22:50:33.211Z","Included","auto","No","326534","217348","6750378","72970","7367230","2.81"
"2025-09-24T22:48:37.370Z","Included","auto","No","89640","861","103482","901","194884","0.14"
"2025-09-24T22:42:53.636Z","Included","auto","No","107657","224399","409710","43582","785348","0.78"
"2025-09-24T22:41:41.349Z","Included","auto","No","5422","68093","189078","451","263044","0.14"
"2025-09-24T22:40:18.454Z","Errored, Not Charged","auto","No","86514","67561","6742","2379","163196","0.21"
"2025-09-24T22:27:04.352Z","Included","auto","No","85577","44262","1448937","9674","1588450","0.58"
"2025-09-24T22:11:39.878Z","Errored, Not Charged","auto","No","56066","78505","1418471","13379","1566421","0.60"
"2025-09-24T22:09:56.920Z","Included","auto","No","13339","76588","100413","899","191239","0.14"
"2025-09-24T22:02:26.330Z","Included","auto","No","105507","68055","1382307","6859","1562728","0.60"
"2025-09-24T21:49:55.969Z","Included","auto","No","91398","58818","732670","7075","889961","0.41"
"2025-09-24T21:38:46.036Z","Included","auto","No","17733","43718","1125079","5955","1192485","0.39"
"2025-09-24T21:36:10.952Z","Included","auto","No","24792","37453","642099","6253","710597","0.28"
"2025-09-24T21:32:37.043Z","Included","auto","No","44542","153581","638701","18881","855705","0.52"
"2025-09-24T21:28:37.752Z","Included","auto","No","111658","76282","1009942","7871","1205753","0.53"
"2025-09-24T21:03:40.885Z","Included","auto","No","114543","51198","2361830","7239","2534810","0.84"
"2025-09-24T21:03:09.798Z","Included","auto","No","1035","50447","75515","582","127579","0.09"
"2025-09-24T20:59:51.448Z","Included","auto","No","1448","49325","74068","418","125259","0.08"
"2025-09-24T20:58:42.297Z","Included","auto","No","67327","47701","6742","583","122353","0.15"
"2025-09-24T20:42:03.112Z","Included","auto","No","19306","33342","287166","1472","341286","0.15"
"2025-09-24T20:34:20.644Z","Included","auto","No","50376","167865","950177","27128","1195546","0.67"
"2025-09-24T20:31:02.381Z","Included","auto","No","14640","81213","1419720","9483","1525056","0.53"
"2025-09-24T20:27:14.329Z","Errored, Not Charged","auto","No","38337","73970","1029640","5950","1147897","0.43"
"2025-09-24T20:18:55.962Z","Included","auto","No","187924","181105","2133834","24698","2527561","1.14"
"2025-09-24T20:13:10.307Z","Included","auto","No","34088","78299","1162768","1701","1276856","0.44"
"2025-09-24T20:04:21.781Z","Errored, Not Charged","auto","No","79710","91730","2194147","6720","2372307","0.80"
"2025-09-24T20:03:15.728Z","Included","auto","No","4051","85311","189821","515","279698","0.16"
"2025-09-24T20:02:54.673Z","Included","auto","No","705","84958","94055","169","179887","0.13"
"2025-09-24T20:02:20.544Z","Included","auto","No","84420","73827","95329","619","254195","0.23"
"2025-09-24T19:58:46.986Z","Included","auto","No","35108","70834","2336606","5239","2447787","0.75"
"2025-09-24T19:48:57.099Z","Included","auto","No","127651","0","1268961","10006","1406618","0.54"
"2025-09-24T19:43:02.365Z","Errored, Not Charged","auto","No","73457","80002","1001107","8406","1162972","0.49"
"2025-09-24T19:38:37.287Z","Included","auto","No","15899","69813","3771409","7634","3864755","1.10"
"2025-09-24T19:35:48.996Z","Included","auto","No","19435","50573","1630833","5404","1706245","0.53"
"2025-09-24T19:30:42.415Z","Included","auto","No","25946","41457","715382","16565","799350","0.36"
"2025-09-24T19:24:04.509Z","Errored, Not Charged","auto","No","67505","87238","1841731","10009","2006483","0.71"
"2025-09-24T19:20:51.314Z","Included","auto","No","13453","84517","667852","8756","774578","0.34"
